,总价,单价,户型,建筑面积,朝向,装修,楼层,小区
0,395万,"77,300元/平",2室1厅 , 51.1平米 , 南 北 , 简装 , 底层(共5层) ,北分厂 
1,1330万,"115,552元/平",2室2厅 , 115.1平米 , 南 北 , 精装 , 顶层(共5层) ,领秀新硅谷2号院 
2,690万,"99,568元/平",3室1厅 , 69.3平米 , 南 北 , 毛坯 , 顶层(共6层)  ,铁东小区 
3,1560万,"114,791元/平",3室2厅 , 135.9平米 , 西南 东北 , 简装 , 低楼层(共16层) ,远大园五区 
4,1293万,"100,155元/平",3室2厅 , 129.1平米 , 南 北 , 简装 , 中楼层(共5层)  ,百旺茉莉园 
5,642万,"51,951元/平",3室2厅 , 123.58平米 , 东南 , 简装 , 高楼层(共32层) ,新康园 
6,1180万,"85,341元/平",3室1厅 , 138.27平米 , 南 北 , 简装 , 中楼层(共5层) ,枫丹丽舍 
7,750万,"126,263元/平",2室1厅 , 59.4平米 , 东南 , 其他 , 低楼层(共16层)  ,双榆树西里 
8,639万,"106,678元/平",2室1厅 , 59.9平米 , 南 北 , 简装 , 底层(共6层) ,普惠南里 
9,855万,"107,819元/平",2室1厅 , 79.3平米 , 东 北 , 简装 , 16层 ,魏公村8号院 
10,730万,"85,401元/平",2室1厅 , 85.48平米 , 东南 , 精装 , 低楼层(共19层) ,清上园 
11,718万,"97,688元/平",2室1厅 , 73.5平米 , 南 北 , 精装 , 中楼层(共6层)  ,定慧北里 
12,1260万,"134,186元/平",3室1厅 , 93.9平米 , 西南 , 简装 , 高楼层(共16层) ,城建小区 
13,1288万,"89,068元/平",2室1厅 , 144.61平米 , 南 北 , 简装 , 底层(共18层)  ,中海雅园 
14,758万,"85,303元/平",2室1厅 , 88.86平米 , 东 南 , 简装 , 中楼层(共10层) ,玉海园三里 
15,3450万,"135,152元/平",5室2厅 , 255.27平米 , 南 北 , 毛坯 , 底层(共3层)  ,郦城三区 
16,2090万,"123,166元/平",3室2厅 , 169.69平米 , 南 北 , 精装 , 中楼层(共9层) ,水清木华园 
17,1240万,"109,502元/平",2室2厅 , 113.24平米 , 西南 , 精装 , 高楼层(共21层) ,枫蓝国际 
18,1350万,"132,353元/平",3室1厅 , 102平米 , 南 北 , 精装 , 高楼层(共6层) ,知春东里 
19,2550万,"95,844元/平",5室2厅 , 266.06平米 , 南 北 , 精装 , 中楼层(共5层) ,西山华府 
20,720万,"71,649元/平",3室1厅 , 100.49平米 , 南 北 , 简装 , 底层(共5层)  ,绿谷雅园 
21,612万,"99,254元/平",3室1厅 , 61.66平米 , 南 北 , 简装 , 中楼层(共5层)  ,万寿路1号院 
22,598万,"117,255元/平",2室1厅 , 51平米 , 南 北 , 简装 , 底层(共6层) ,车公庄西路14号院 
23,515万,"82,533元/平",2室1厅 , 62.4平米 , 南 北 , 精装 , 顶层(共6层)  ,东馨园 
24,840万,"109,948元/平",3室1厅 , 76.4平米 , 西南 , 精装 , 高楼层(共22层) ,红联南村46号院 
25,625万,"109,076元/平",2室1厅 , 57.3平米 , 南 北 , 简装 , 中楼层(共5层)  ,北影小区 
26,495万,"86,843元/平",2室1厅 , 57平米 , 东 西 , 精装 , 顶层(共6层)  ,车道沟南里 
27,495万,"91,498元/平",1室1厅 , 54.1平米 , 东南 , 简装 , 高楼层(共15层)  ,北洼西里 
28,710万,"91,934元/平",2室1厅 , 77.23平米 , 南 北 , 精装 , 中楼层(共12层)  ,定慧北里 
29,1040万,"101,119元/平",2室1厅 , 102.85平米 , 西南 , 简装 , 17层 ,曙光花园 
30,420万,"103,704元/平",1室1厅 , 40.5平米 , 南 , 简装 , 底层(共16层) ,明光北里 
31,880万,"84,510元/平",2室1厅 , 104.13平米 , 南 西 , 精装 , 中楼层(共16层) ,雪芳园 
32,453万,"93,731元/平",1室1厅 , 48.33平米 , 南 , 简装 , 底层(共6层)  ,定慧北里 
33,899万,"101,273元/平",2室1厅 , 88.77平米 , 南 北 , 精装 , 中楼层(共7层) ,金雅园南区 
34,890万,"118,826元/平",3室1厅 , 74.9平米 , 南 北 , 简装 , 底层(共5层) ,普惠北里 
35,658万,"103,786元/平",3室1厅 , 63.4平米 , 南 北 , 精装 , 低楼层(共6层) ,动物园宿舍 
36,530万,"100,953元/平",2室1厅 , 52.5平米 , 南 北 , 简装 , 7层  ,增光路甲34号 
37,1220万,"107,679元/平",2室1厅 , 113.3平米 , 东南 , 精装 , 高楼层(共25层) ,宏嘉丽园 
38,625万,"66,313元/平",2室1厅 , 94.25平米 , 东 西 , 精装 , 中楼层(共7层) ,知本时代 
39,642万,"114,869元/平",2室1厅 , 55.89平米 , 东南 , 简装 , 高楼层(共18层)  ,塔院小区 
40,760万,"81,084元/平",2室1厅 , 93.73平米 , 南 北 , 简装 , 中楼层(共11层) ,富力桃园B区 
41,1200万,"114,504元/平",3室1厅 , 104.8平米 , 南 北 , 简装 , 高楼层(共12层) ,广通苑 
42,1150万,"117,623元/平",2室1厅 , 97.77平米 , 南 北 , 简装 , 高楼层(共12层) ,定慧福里南区 
43,1160万,"82,241元/平",3室2厅 , 141.05平米 , 东南 , 精装 , 高楼层(共27层) ,强佑清河新城府学上院 
44,770万,"103,218元/平",3室1厅 , 74.6平米 , 东 西 , 简装 , 高楼层(共13层) ,塔院小区 
45,1480万,"126,832元/平",2室1厅 , 116.69平米 , 南 北 , 精装 , 顶层(共9层) ,颐慧佳园A区 
46,501.2万,"87,930元/平",2室1厅 , 57平米 , 东 西 , 精装 , 中楼层(共6层) ,车道沟南里 
47,639万,"80,887元/平",2室1厅 , 79平米 , 西 西北 北 , 精装 , 中楼层(共9层) ,观澳园 
48,740万,"95,116元/平",3室1厅 , 77.8平米 , 南 北 , 精装 , 高楼层(共6层)  ,永定路85号院 
49,518万,"89,004元/平",2室1厅 , 58.2平米 , 南 北 , 简装 , 顶层(共6层) ,金沟河12号院 
50,1328万,"109,130元/平",2室2厅 , 121.69平米 , 南 北 , 精装 , 4层 ,郦城二区 
51,3300万,"116,649元/平",5室2厅 , 282.9平米 , 南 北 , 精装 , 中楼层(共5层) ,郦城三区 
52,1890万,"114,366元/平",3室2厅 , 165.26平米 , 西 南 北 , 精装 , 24层 ,冠城南园 
53,2120万,"131,359元/平",3室2厅 , 161.39平米 , 南 北 , 精装 , 高楼层(共14层) ,远大园三区 
54,2280万,"93,747元/平",6室3厅 , 243.21平米 , 南 北 , 精装 , 4层 ,西钓鱼台庄园 
55,1160万,"88,294元/平",3室2厅 , 131.38平米 , 南 北 , 精装 , 低楼层(共9层)  ,碧森里 
56,1300万,"108,578元/平",3室2厅 , 119.73平米 , 南 北 , 精装 , 高楼层(共11层) ,上林溪 
57,775万,"90,963元/平",3室1厅 , 85.2平米 , 南 北 , 简装 , 高楼层(共6层)  ,梅园 
58,440万,"100,687元/平",1室1厅 , 43.7平米 , 西 , 精装 , 中楼层(共16层) ,红联北村 
59,799万,"93,146元/平",2室1厅 , 85.78平米 , 东南 , 简装 , 底层(共24层) ,博望园 
60,445万,"75,719元/平",2室1厅 , 58.77平米 , 东 西北 , 简装 , 中楼层(共6层) ,幸福时光 
61,558万,"102,574元/平",1室1厅 , 54.4平米 , 东南 , 精装 , 低楼层(共18层) ,景王坟 
62,838万,"101,564元/平",3室1厅 , 82.51平米 , 南 北 , 简装 , 中楼层(共7层) ,恩济里小区 
63,758万,"94,739元/平",2室1厅 , 80.01平米 , 南 北 , 精装 , 中楼层(共6层) ,玉海园五里 
64,1510万,"101,931元/平",3室1厅 , 148.14平米 , 南 北 , 精装 , 底层(共5层) ,万寿路西街9号 
65,2060万,"84,562元/平",3室2厅 , 243.61平米 , 南 北 , 毛坯 , 底层(共2层) ,雪梨澳乡E区 
66,1200万,"75,663元/平",3室2厅 , 158.6平米 , 东南 , 简装 , 高楼层(共24层) ,静淑东里 
67,1750万,"106,500元/平",3室2厅 , 164.32平米 , 南 北 , 精装 , 13层 ,逸成东苑 
68,1275万,"109,753元/平",2室1厅 , 116.17平米 , 南 北 , 精装 , 底层(共9层) ,乐府江南 
69,2500万,"95,966元/平",4室3厅 , 260.51平米 , 南 北 , 简装 , 底层(共2层) ,雪梨澳乡B区 
70,780万,"98,822元/平",3室1厅 , 78.93平米 , 南 西 北 , 简装 , 高楼层(共6层)  ,万寿路1号院 
71,1158万,"83,623元/平",3室1厅 , 138.48平米 , 南 北 , 精装 , 低楼层(共12层) ,丹青府 
72,1530万,"86,456元/平",3室1厅 , 176.97平米 , 东南 , 精装 , 高楼层(共23层) ,西屋国际 
73,815万,"83,840元/平",2室1厅 , 97.21平米 , 南 北 , 精装 , 中楼层(共12层) ,永金里小区 
74,1320万,"77,429元/平",3室2厅 , 170.48平米 , 南 北 , 精装 , 低楼层(共12层) ,熙湖 
75,1450万,"100,111元/平",3室2厅 , 144.84平米 , 南 北 , 精装 , 中楼层(共5层) ,领秀新硅谷1号院 
76,820万,"74,955元/平",3室1厅 , 109.4平米 , 东 北 , 简装 , 低楼层(共10层) ,玉海园三里 
77,830万,"77,469元/平",3室1厅 , 107.14平米 , 东 西 北 , 精装 , 中楼层(共18层) ,定慧福里北区 
78,1880万,"84,008元/平",4室2厅 , 223.79平米 , 南 , 精装 , 高楼层(共21层)  ,世纪新景 
79,1738万,"80,475元/平",5室2厅 , 215.97平米 , 南 北 , 简装 , 中楼层(共4层) ,领秀新硅谷2号院 
80,2150万,"132,766元/平",3室2厅 , 161.94平米 , 南 北 , 精装 , 9层 ,远洋风景 
81,1160万,"88,665元/平",3室2厅 , 130.83平米 , 南 北 , 精装 , 13层 ,兰德华庭 
82,1300万,"89,991元/平",3室1厅 , 144.46平米 , 南 北 , 精装 , 顶层(共9层) ,观林园 
83,3700万,"113,247元/平",5室2厅 , 326.72平米 , 南 北 , 精装 , 3层 ,香山清琴麓苑 
84,1656万,"104,224元/平",3室1厅 , 158.89平米 , 东南 , 精装 , 26层 ,人济山庄 
85,739万,"65,777元/平",2室1厅 , 112.35平米 , 南 北 , 简装 , 底层(共5层) ,绿谷雅园 
86,1760万,"95,523元/平",3室2厅 , 184.25平米 , 东南 , 精装 , 低楼层(共10层) ,中海雅园 
87,3460万,"172,957元/平",4室2厅 , 200.05平米 , 南 北 , 精装 , 底层(共6层) ,万泉新新家园 
88,658万,"115,846元/平",2室1厅 , 56.8平米 , 南 , 精装 , 底层(共6层) ,牡丹园西里 
89,908万,"68,794元/平",3室2厅 , 131.99平米 , 南 北 , 简装 , 低楼层(共12层) ,永金里小区 
90,419万,"97,216元/平",1室1厅 , 43.1平米 , 西南 , 简装 , 底层(共12层) ,甘家口小区 
91,518万,"91,682元/平",2室1厅 , 56.5平米 , 南 北 , 简装 , 低楼层(共6层) ,金沟河17号院 
92,810万,"69,985元/平",3室1厅 , 115.74平米 , 南 北 , 简装 , 低楼层(共14层) ,知本时代 
93,990万,"123,135元/平",2室1厅 , 80.4平米 , 南 北 , 简装 , 中楼层(共6层) ,厂洼西街10号院 
94,840万,"140,940元/平",2室1厅 , 59.6平米 , 东 南 北 , 精装 , 低楼层(共6层)  ,东南小区 
95,880万,"102,302元/平",2室2厅 , 86.02平米 , 东南 , 精装 , 高楼层(共17层) ,金夕园 
96,398万,"93,406元/平",1室1厅 , 42.61平米 , 南 , 精装 , 中楼层(共8层) ,西区邮电局 
97,1060万,"96,769元/平",3室1厅 , 109.54平米 , 南 北 , 简装 , 高楼层(共17层) ,望塔园 
98,490万,"73,929元/平",2室1厅 , 66.28平米 , 东北 , 简装 , 中楼层(共6层)  ,五棵松26号院 
99,710万,"125,023元/平",2室1厅 , 56.79平米 , 南 北 , 简装 , 低楼层(共7层)  ,永定路西里 
100,1230万,"122,206元/平",2室1厅 , 100.65平米 , 西 , 精装 , 中楼层(共22层) ,天兆家园 
101,1390万,"98,415元/平",3室1厅 , 141.24平米 , 南 北 , 精装 , 17层 ,曙光花园 
102,906万,"87,588元/平",2室1厅 , 103.44平米 , 南 北 , 简装 , 低楼层(共20层) ,水木天成 
103,650万,"75,908元/平",2室1厅 , 85.63平米 , 东北 , 精装 , 中楼层(共13层) ,清缘东里 
104,580万,"112,143元/平",2室1厅 , 51.72平米 , 南 , 简装 , 中楼层(共5层)  ,科技大学 
105,750万,"100,672元/平",3室1厅 , 74.5平米 , 南 北 , 简装 , 中楼层(共6层) ,六建 
106,573万,"103,561元/平",1室1厅 , 55.33平米 , 东 南 西 , 精装 , 10层 ,北京印象 
107,724万,"75,339元/平",2室2厅 , 96.1平米 , 南 北 , 简装 , 高楼层(共6层) ,华鸿家园 
108,435万,"78,805元/平",2室1厅 , 55.2平米 , 西南 , 精装 , 低楼层(共18层) ,阳光北里 
109,799万,"99,255元/平",2室1厅 , 80.5平米 , 东南 , 精装 , 中楼层(共18层) ,牡丹园北里 
110,408万,"71,831元/平",2室1厅 , 56.8平米 , 南 北 , 简装 , 中楼层(共5层) ,北新家园 
111,495万,"111,236元/平",1室1厅 , 44.5平米 , 南 , 精装 , 高楼层(共18层)  ,龙翔路小区 
112,938万,"108,830元/平",3室1厅 , 86.19平米 , 东 北 , 精装 , 中楼层(共18层) ,北洼东里 
113,880万,"89,888元/平",2室1厅 , 97.9平米 , 西南 , 精装 , 中楼层(共24层) ,今日家园 
114,645万,"99,970元/平",3室1厅 , 64.52平米 , 东北 , 精装 , 高楼层(共14层)  ,北太平庄路 
115,563万,"92,905元/平",1室1厅 , 60.6平米 , 西 , 简装 , 底层(共18层)  ,双紫小区 
116,1600万,"103,293元/平",3室1厅 , 154.9平米 , 东南 , 精装 , 中楼层(共18层) ,怡秀园小区 
117,998万,"108,420元/平",2室2厅 , 92.05平米 , 南 , 简装 , 22层  ,文慧园15号16公寓 
118,1020万,"80,741元/平",2室1厅 , 126.33平米 , 西 , 精装 , 低楼层(共19层) ,万景公寓 
119,660万,"87,072元/平",3室1厅 , 75.8平米 , 南 北 , 简装 , 底层(共6层)  ,小营东路6号院 
120,925万,"91,612元/平",2室1厅 , 100.97平米 , 西南 , 精装 , 低楼层(共24层) ,今日家园 
121,460万,"114,144元/平",1室1厅 , 40.3平米 , 东 , 精装 , 低楼层(共6层)  ,展春园 
122,748万,"172,669元/平",1室0厅 , 43.32平米 , 西北 , 精装 , 低楼层(共9层) ,蜂鸟家园 
123,836万,"90,516元/平",2室1厅 , 92.36平米 , 南 北 , 精装 , 中楼层(共13层) ,清缘东里 
124,485万,"82,906元/平",2室1厅 , 58.5平米 , 东 西 , 简装 , 高楼层(共6层) ,索家坟 
125,880万,"100,710元/平",2室1厅 , 87.38平米 , 南 , 精装 , 中楼层(共24层) ,健翔园 
126,735万,"84,348元/平",2室1厅 , 87.14平米 , 东 西 , 精装 , 低楼层(共12层) ,怡美家园 
127,443万,"103,529元/平",1室1厅 , 42.79平米 , 南 , 精装 , 底层(共3层)  ,八里庄北里 
128,912万,"64,086元/平",3室2厅 , 142.31平米 , 南 北 , 简装 , 顶层(共6层)  ,玉海园五里 
129,510万,"85,342元/平",2室1厅 , 59.76平米 , 南 , 简装 , 低楼层(共18层) ,小营干休所 
130,730万,"105,340元/平",3室1厅 , 69.3平米 , 东南 , 精装 , 高楼层(共13层)  ,昌运宫 
131,889万,"68,123元/平",3室2厅 , 130.5平米 , 东 西 , 精装 , 顶层(共6层) ,玉海园五里 
132,815万,"105,845元/平",2室1厅 , 77平米 , 东 , 精装 , 低楼层(共17层)  ,定慧福里南区 
133,1180万,"88,417元/平",3室1厅 , 133.46平米 , 南 北 , 简装 , 高楼层(共8层)  ,燕尚园 
134,475万,"103,509元/平",1室1厅 , 45.89平米 , 南 , 精装 , 低楼层(共6层) ,玉海园五里 
135,369万,"52,259元/平",1室1厅 , 70.61平米 , 南 , 简装 , 高楼层(共13层)  ,上庄馨瑞嘉园 
136,1035万,"70,944元/平",3室2厅 , 145.89平米 , 东 南 北 , 简装 , 中楼层(共21层) ,清上园 
137,695万,"101,757元/平",2室1厅 , 68.3平米 , 南 北 , 精装 , 顶层(共9层) ,甘家口小区 
138,525万,"95,803元/平",2室1厅 , 54.8平米 , 南 北 , 简装 , 底层(共6层) ,复兴路81号院 
139,465万,"77,877元/平",2室1厅 , 59.71平米 , 南 北 , 精装 , 中楼层(共7层) ,建材城东一里 
140,665万,"79,594元/平",2室1厅 , 83.55平米 , 南 北 , 简装 , 中楼层(共9层) ,金隅美和园 
141,760万,"88,403元/平",2室2厅 , 85.97平米 , 南 北 , 简装 , 高楼层(共6层)  ,邮局宿舍 
142,735万,"73,648元/平",2室1厅 , 99.8平米 , 东北 , 精装 , 低楼层(共11层) ,玉海园二里 
143,448万,"88,189元/平",2室1厅 , 50.8平米 , 南 , 精装 , 中楼层(共5层) ,永定路1号院 
144,596万,"86,315元/平",3室1厅 , 69.05平米 , 西 北 , 简装 , 低楼层(共14层)  ,车道沟社区 
145,800万,"95,239元/平",3室1厅 , 84平米 , 南 北 , 精装 , 6层 ,绿苑 
146,755万,"109,899元/平",2室1厅 , 68.7平米 , 西南 , 精装 , 高楼层(共20层) ,普惠南里 
147,565万,"87,165元/平",2室1厅 , 64.82平米 , 南 北 , 精装 , 中楼层(共6层) ,永泰东里 
148,610万,"99,837元/平",2室1厅 , 61.1平米 , 南 北 , 精装 , 低楼层(共6层) ,玉海园一里 
149,1550万,"143,812元/平",3室1厅 , 107.78平米 , 南 西 , 精装 , 低楼层(共16层) ,厂洼西街6号院 
150,699万,"104,641元/平",2室1厅 , 66.8平米 , 南 西 北 , 精装 , 中楼层(共5层)  ,花园村小区 
151,658万,"88,919元/平",2室1厅 , 74平米 , 南 北 , 精装 , 顶层(共6层)  ,林大北路6号院 
152,670万,"83,189元/平",2室1厅 , 80.54平米 , 南 , 精装 , 底层(共9层) ,金隅美和园 
153,1820万,"123,962元/平",3室2厅 , 146.82平米 , 南 北 西 , 精装 , 高楼层(共10层) ,郦城三区 
154,728万,"53,081元/平",3室2厅 , 137.15平米 , 东南 , 简装 , 顶层(共32层) ,新康园 
155,3180万,"87,623元/平",6室2厅 , 362.92平米 , 南 北 , 精装 , 6层  ,西山壹号院 
156,1795万,"140,597元/平",3室2厅 , 127.67平米 , 南 北 , 精装 , 低楼层(共6层) ,美丽园 
157,676万,"85,021元/平",3室1厅 , 79.51平米 , 南 北 , 简装 , 中楼层(共6层)  ,金沟河5号院 
158,839万,"109,274元/平",3室1厅 , 76.78平米 , 南 北 , 精装 , 低楼层(共6层)  ,羊坊店西路10号院 
159,1630万,"85,840元/平",4室2厅 , 189.89平米 , 南 西 北 , 精装 , 中楼层(共6层) ,金隅翡丽一期 
160,799万,"81,125元/平",2室2厅 , 98.49平米 , 西南 , 简装 , 低楼层(共15层) ,永达逸家 
161,1849万,"155,653元/平",3室1厅 , 118.79平米 , 南 西 北 , 精装 , 低楼层(共16层) ,碧水云天 
162,1365万,"54,752元/平",4室2厅 , 249.31平米 , 南 北 , 精装 , 顶层(共4层) ,北辰香麓 
163,2580万,"144,595元/平",3室2厅 , 178.43平米 , 南 北 , 精装 , 中楼层(共15层) ,鲁艺上河村 
164,1180万,"99,528元/平",3室1厅 , 118.56平米 , 东南 , 精装 , 顶层(共18层) ,二里庄小区 
